ISBN,Genre,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
486281965,Literary fiction,The Country of the Pointed Firs (Dover Thrift Editions),Sarah Orne Jewett,1994,Dover Publications,http://images.amazon.com/images/P/0486281965.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486281965.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486281965.01.LZZZZZZZ.jpg
486292940,Poetry,Early Poems (Dover Thrift Editions),William Carlos Williams,1997,Dover Publications,http://images.amazon.com/images/P/0486292940.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486292940.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486292940.01.LZZZZZZZ.jpg
051762639X,Literary fiction,Barchester Towers (Oxford Pocket Classics),Anthony Trollope,1986,Random House Value Publishing,http://images.amazon.com/images/P/051762639X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051762639X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051762639X.01.LZZZZZZZ.jpg
684824442,Science fiction,REEF,Edith Wharton,1996,Scribner,http://images.amazon.com/images/P/0684824442.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684824442.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684824442.01.LZZZZZZZ.jpg
743458303,Mystery,Wednesday the Rabbi Got Wet,Harry Kemelman,2003,I Books,http://images.amazon.com/images/P/0743458303.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743458303.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743458303.01.LZZZZZZZ.jpg
081296666X,Humor,Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,2003,Villard Books,http://images.amazon.com/images/P/081296666X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/081296666X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/081296666X.01.LZZZZZZZ.jpg
819215635,Religion,Listening Hearts: Discerning Call in Community,Suzanne G. Farnham,1991,Morehouse Group,http://images.amazon.com/images/P/0819215635.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0819215635.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0819215635.01.LZZZZZZZ.jpg
880011025,Science fiction,Unattainable Earth,Czeslaw Milosz,1987,Ecco Press,http://images.amazon.com/images/P/0880011025.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0880011025.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0880011025.01.LZZZZZZZ.jpg
1561011525,Religion,"The Practice of Prayer (New Church's Teaching Series, Vol 4)",Margaret Guenther,1998,Cowley Publications,http://images.amazon.com/images/P/1561011525.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1561011525.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1561011525.01.LZZZZZZZ.jpg
1877727083,Poetry,Vertical Poetry: Recent Poems,Roberto Juarroz,1992,White Pine Press (NY),http://images.amazon.com/images/P/1877727083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1877727083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1877727083.01.LZZZZZZZ.jpg
486206173,Chess,Rubinstein's Chess Masterpieces,Akiba Rubinstein,1941,Dover Publications,http://images.amazon.com/images/P/0486206173.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486206173.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486206173.01.LZZZZZZZ.jpg
312278586,Memoir,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press,http://images.amazon.com/images/P/0312278586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg
8845229041,Romance,Biblioteca Universale Rizzoli: Sulla Sponda Del Fiume Piedra,P Coelho,0,Fabbri - RCS Libri,http://images.amazon.com/images/P/8845229041.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8845229041.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8845229041.01.LZZZZZZZ.jpg
887641486X,Romance,I Giorni Dell'abbandono,Elena Ferrante,2002,Edizioni E/O,http://images.amazon.com/images/P/887641486X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/887641486X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/887641486X.01.LZZZZZZZ.jpg
140370900,Science fiction,The Gizmo,Paul Jennings,1995,Puffin,http://images.amazon.com/images/P/0140370900.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140370900.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140370900.01.LZZZZZZZ.jpg
674511255,History,The Last Best Hope of Earth: Abraham Lincoln and the Promise of America,"Mark E., Jr. Neely",1993,Harvard University Press,http://images.amazon.com/images/P/0674511255.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0674511255.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0674511255.01.LZZZZZZZ.jpg
30096189,Textbook,Organic Chemistry (Saunders Golden Sunburst Series),Stephen J. Weininger,1994,Saunders College Publishing,http://images.amazon.com/images/P/0030096189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0030096189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0030096189.01.LZZZZZZZ.jpg
312965745,Health and wellness,Secrets of St. John's Wort: A Lynn Sonberg Book,Larry Katzenstein,1998,St. Martin's Press,http://images.amazon.com/images/P/0312965745.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312965745.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312965745.01.LZZZZZZZ.jpg
345374657,Health and wellness,Diet for a Poisoned Planet: How to Choose Safe Foods for You and Your Family,David Steinman,1992,Ballantine Books,http://images.amazon.com/images/P/0345374657.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345374657.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345374657.01.LZZZZZZZ.jpg
395710901,Parenting,"Punished by Rewards: The Trouble With Gold Stars, Incentive Plans, A'S, Praise, and Other Bribes",Alfie Kohn,1995,Houghton Mifflin,http://images.amazon.com/images/P/0395710901.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395710901.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395710901.01.LZZZZZZZ.jpg
080521061X,Education,Montessori Today: A Comprehensive Approach to Education from Birth to Adulthood,Paula Polk Lillard,1996,Schocken Books,http://images.amazon.com/images/P/080521061X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080521061X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080521061X.01.LZZZZZZZ.jpg
823032612,Art,Oil Painting Techniques (Artist's Painting Library),David Lewis,1983,Watson-Guptill Publications,http://images.amazon.com/images/P/0823032612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0823032612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0823032612.01.LZZZZZZZ.jpg
679310002,Nonfiction,Going down swinging,Billie Livingston,1999,Random House Canada,http://images.amazon.com/images/P/0679310002.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679310002.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679310002.01.LZZZZZZZ.jpg
312288115,Fiction,Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover)),Adele Lang,2002,Thomas Dunne Books,http://images.amazon.com/images/P/0312288115.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312288115.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312288115.01.LZZZZZZZ.jpg
316171107,Crime fiction,Like a Hole in the Head,Jen Banbury,1998,Little Brown &amp; Co,http://images.amazon.com/images/P/0316171107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316171107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316171107.01.LZZZZZZZ.jpg
380710218,Thriller,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380710218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380710218.01.LZZZZZZZ.jpg
515118656,Documentary,The Cove,Catherine Coulter,1996,Jove Books,http://images.amazon.com/images/P/0515118656.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515118656.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515118656.01.LZZZZZZZ.jpg
553289063,Documentary,An Inconvenient Woman,Dominick Dunne,1991,Bantam Books,http://images.amazon.com/images/P/0553289063.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553289063.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553289063.01.LZZZZZZZ.jpg
671000306,Adventure,Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996,Pocket,http://images.amazon.com/images/P/0671000306.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671000306.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671000306.01.LZZZZZZZ.jpg
671673688,Thriller,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket,http://images.amazon.com/images/P/0671673688.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671673688.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671673688.01.LZZZZZZZ.jpg
1561672033,Adventure,Antipodes 10,John Pascal,1995,Noble House,http://images.amazon.com/images/P/1561672033.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1561672033.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1561672033.01.LZZZZZZZ.jpg
425178242,Humor,Kick Ass: Selected Columns of Carl Hiaasen,Carl Hiaasen,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425178242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425178242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425178242.01.LZZZZZZZ.jpg
618173870,Literary fiction,Everything Is Illuminated: A Novel,Jonathan Safran Foer,2002,Houghton Mifflin Company,http://images.amazon.com/images/P/0618173870.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618173870.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618173870.01.LZZZZZZZ.jpg
156027321,Fantasy,Life of Pi,Yann Martel,2003,Harvest Books,http://images.amazon.com/images/P/0156027321.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156027321.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg
375403582,Adventure,Rules of the Wild,Francesca Marciano,1998,Random House Inc,http://images.amazon.com/images/P/0375403582.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375403582.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375403582.01.LZZZZZZZ.jpg
385721420,Literary fiction,Three Junes,JULIA GLASS,2003,Anchor,http://images.amazon.com/images/P/0385721420.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385721420.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385721420.01.LZZZZZZZ.jpg
451202341,Literary fiction,Back Roads,Tawni O'Dell,2001,Signet Book,http://images.amazon.com/images/P/0451202341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451202341.01.LZZZZZZZ.jpg
743418190,Literary fiction,In Her Shoes : A Novel,Jennifer Weiner,2002,Atria Books,http://images.amazon.com/images/P/0743418190.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743418190.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743418190.01.LZZZZZZZ.jpg
385335407,Romance,The Kiss,Danielle Steel,2001,Delacorte Press,http://images.amazon.com/images/P/0385335407.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335407.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335407.01.LZZZZZZZ.jpg
965746828,Poetry,Home Spun: A Collection,Leon Hale,1997,Winedale Publishing,http://images.amazon.com/images/P/0965746828.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0965746828.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0965746828.01.LZZZZZZZ.jpg
60923245,Literary fiction,Sweet Hereafter Movie Tie-In : A Novel,Russell Banks,1992,Perennial,http://images.amazon.com/images/P/0060923245.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060923245.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060923245.01.LZZZZZZZ.jpg
486272664,Poetry,The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,1992,Dover Publications,http://images.amazon.com/images/P/0486272664.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486272664.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486272664.01.LZZZZZZZ.jpg
786015276,Thriller,11th Hour,Bradley Warshauer,2003,Pinnacle Books,http://images.amazon.com/images/P/0786015276.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786015276.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786015276.01.LZZZZZZZ.jpg
60913509,Literary fiction,In Country RI,Bobbie Ann Mason,1986,Perennial,http://images.amazon.com/images/P/0060913509.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060913509.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060913509.01.LZZZZZZZ.jpg
553272837,Romance,Brazen Virtue,Nora Roberts,1996,Bantam Books,http://images.amazon.com/images/P/0553272837.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553272837.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553272837.01.LZZZZZZZ.jpg
440225078,Mystery,Ghost Moon,Karen Robards,2001,Dell Publishing Company,http://images.amazon.com/images/P/0440225078.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225078.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225078.01.LZZZZZZZ.jpg
312145543,Mystery,Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen,1996,St Martins Pr,http://images.amazon.com/images/P/0312145543.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312145543.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312145543.01.LZZZZZZZ.jpg
425181111,Fiction,Strangers,Dean R. Koontz,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425181111.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425181111.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425181111.01.LZZZZZZZ.jpg
380732688,Mystery,Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,2002,Avon,http://images.amazon.com/images/P/0380732688.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380732688.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380732688.01.LZZZZZZZ.jpg
140286276,Fiction,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999,Penguin Books,http://images.amazon.com/images/P/0140286276.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140286276.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140286276.01.LZZZZZZZ.jpg
373484100,Horror,Night Tales,Nora Roberts,2000,Silhouette,http://images.amazon.com/images/P/0373484100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373484100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373484100.01.LZZZZZZZ.jpg
449907481,Fiction,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books,http://images.amazon.com/images/P/0449907481.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449907481.01.LZZZZZZZ.jpg
553107305,Mystery,Chopping Spree,DIANE MOTT DAVIDSON,2002,Bantam,http://images.amazon.com/images/P/0553107305.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553107305.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553107305.01.LZZZZZZZ.jpg
080213825X,Fiction,Four Blondes,Candace Bushnell,2001,Grove Press,http://images.amazon.com/images/P/080213825X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080213825X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080213825X.01.LZZZZZZZ.jpg
515127833,Fiction,River's End,Nora Roberts,2003,Jove Books,http://images.amazon.com/images/P/0515127833.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515127833.01.LZZZZZZZ.jpg
345441133,Fiction,Summer Island,KRISTIN HANNAH,2002,Ballantine Books,http://images.amazon.com/images/P/0345441133.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345441133.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345441133.01.LZZZZZZZ.jpg
515134279,Mystery,The Straw Men,Michael Marshall,2002,Jove Books,http://images.amazon.com/images/P/0515134279.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515134279.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515134279.01.LZZZZZZZ.jpg
945586051,Memoir,The Doctor the Patient: The Personal Journey of a Physician With Cancer,Allen Widome,1989,Editech Pr,http://images.amazon.com/images/P/0945586051.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0945586051.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0945586051.01.LZZZZZZZ.jpg
385490992,Fiction,The Street Lawyer,John Grisham,1998,Doubleday Books,http://images.amazon.com/images/P/0385490992.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385490992.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385490992.01.LZZZZZZZ.jpg
385424728,Fiction,The Chamber,John Grisham,1994,Doubleday Books,http://images.amazon.com/images/P/0385424728.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385424728.01.LZZZZZZZ.jpg
312980388,Fantasy,Warlock : A Novel of Ancient Egypt,Wilbur Smith,2002,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312980388.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312980388.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312980388.01.LZZZZZZZ.jpg
590419625,Fiction,The Teacher from the Black Lagoon,Mike Thaler,1989,Scholastic,http://images.amazon.com/images/P/0590419625.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590419625.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590419625.01.LZZZZZZZ.jpg
385472951,Mystery,The Partner,John Grisham,1997,Doubleday Books,http://images.amazon.com/images/P/0385472951.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385472951.01.LZZZZZZZ.jpg
451195663,Thriller,Primal Scream,Michael Slade,1998,Signet Book,http://images.amazon.com/images/P/0451195663.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451195663.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451195663.01.LZZZZZZZ.jpg
425182878,Thriller,Chosen Prey,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425182878.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182878.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182878.01.LZZZZZZZ.jpg
553564528,Mystery,Guilty as Sin,TAMI HOAG,1997,Bantam,http://images.amazon.com/images/P/0553564528.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553564528.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553564528.01.LZZZZZZZ.jpg
055356451X,Mystery,Night Sins,TAMI HOAG,1995,Bantam,http://images.amazon.com/images/P/055356451X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055356451X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055356451X.01.LZZZZZZZ.jpg
743412621,Fiction,The Second Time Around : A Novel,Mary Higgins Clark,2004,Pocket,http://images.amazon.com/images/P/0743412621.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743412621.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743412621.01.LZZZZZZZ.jpg
849943728,Fiction,Three,Ted Dekker,2003,WestBow Press,http://images.amazon.com/images/P/0849943728.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0849943728.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0849943728.01.LZZZZZZZ.jpg
849943450,Fiction,The Canopy,Angela Elwell Hunt,2003,WestBow Press,http://images.amazon.com/images/P/0849943450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0849943450.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0849943450.01.LZZZZZZZ.jpg
084994371X,Thriller,Blink,Ted Dekker,2003,WestBow Press,http://images.amazon.com/images/P/084994371X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/084994371X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/084994371X.01.LZZZZZZZ.jpg
590406019,Fantasy,Last Battle,C. S. Lewis,1988,Scholastic Paperbacks (Mm),http://images.amazon.com/images/P/0590406019.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590406019.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590406019.01.LZZZZZZZ.jpg
20442408,Fantasy,Prince Caspian,C. S. Lewis,1970,MacMillan Publishing Company.,http://images.amazon.com/images/P/0020442408.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0020442408.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0020442408.01.LZZZZZZZ.jpg
553225987,Non-fiction,Robert's Rules of Order,William Eisner,1986,Bantam Books,http://images.amazon.com/images/P/0553225987.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553225987.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553225987.01.LZZZZZZZ.jpg
042517736X,Mystery,Abduction,Robin Cook,2000,Berkley Publishing Group,http://images.amazon.com/images/P/042517736X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042517736X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042517736X.01.LZZZZZZZ.jpg
671868713,True crime,And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000,Pocket,http://images.amazon.com/images/P/0671868713.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671868713.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671868713.01.LZZZZZZZ.jpg
038549825X,Fiction,Not a Day Goes By : A Novel,E. LYNN HARRIS,2001,Anchor,http://images.amazon.com/images/P/038549825X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038549825X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038549825X.01.LZZZZZZZ.jpg
553202294,Astrology,Sun Signs,Linda Goodman,1981,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553202294.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553202294.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553202294.01.LZZZZZZZ.jpg
345313860,Horror,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books,http://images.amazon.com/images/P/0345313860.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345313860.01.LZZZZZZZ.jpg
345369947,Horror,The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books,http://images.amazon.com/images/P/0345369947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345369947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345369947.01.LZZZZZZZ.jpg
067170124X,Fiction,HIS LITTLE WOMEN : HIS LITTLE WOMEN,Judith Rossner,1991,Pocket,http://images.amazon.com/images/P/067170124X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067170124X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067170124X.01.LZZZZZZZ.jpg
345353625,Fiction,Her Mother's Daughter,Marilyn French,1990,Ballantine Books,http://images.amazon.com/images/P/0345353625.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345353625.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345353625.01.LZZZZZZZ.jpg
308102282,Self-help,Your Erroneous Zones,Wayne W. Dyer,1976,Harpercollins,http://images.amazon.com/images/P/0308102282.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0308102282.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0308102282.01.LZZZZZZZ.jpg
006017143X,Fiction,The Night Listener,Armistead Maupin,2000,HarperCollins Publishers,http://images.amazon.com/images/P/006017143X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006017143X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006017143X.01.LZZZZZZZ.jpg
805056491,Non-fiction,Organizing from the Inside Out,Julie Morgenstern,1998,Henry Holt &amp; Company,http://images.amazon.com/images/P/0805056491.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805056491.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805056491.01.LZZZZZZZ.jpg
679401377,Fiction,The Hellfire Club,Peter Straub,1996,Random House Inc,http://images.amazon.com/images/P/0679401377.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679401377.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679401377.01.LZZZZZZZ.jpg
1562827049,True crime,"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,1993,Hyperion Books,http://images.amazon.com/images/P/1562827049.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1562827049.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1562827049.01.LZZZZZZZ.jpg
385306032,Mystery,Vanished,Danielle Steel,1993,Delacorte Press,http://images.amazon.com/images/P/0385306032.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385306032.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385306032.01.LZZZZZZZ.jpg
816152446,Fiction,The Women in His Life (G K Hall Large Print Book Series),Barbara Taylor Bradford,1991,Thorndike Pr,http://images.amazon.com/images/P/0816152446.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0816152446.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0816152446.01.LZZZZZZZ.jpg
821772953,Fiction,The Morning After,Lisa Jackson,2004,Zebra Books,http://images.amazon.com/images/P/0821772953.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821772953.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821772953.01.LZZZZZZZ.jpg
345379454,Mystery,Missing Susan,SHARYN MCCRUMB,1992,Ballantine Books,http://images.amazon.com/images/P/0345379454.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345379454.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345379454.01.LZZZZZZZ.jpg
553576925,Mystery,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,http://images.amazon.com/images/P/0553576925.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553576925.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553576925.01.LZZZZZZZ.jpg
743206053,Memoir,Kitchen Privileges : A Memoir,Mary Higgins Clark,2002,Simon &amp; Schuster,http://images.amazon.com/images/P/0743206053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743206053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743206053.01.LZZZZZZZ.jpg
688169678,Fiction,We Are Our Mothers' Daughters,Cokie Roberts,2000,Perennial,http://images.amazon.com/images/P/0688169678.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688169678.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688169678.01.LZZZZZZZ.jpg
